Timestamp,Centigrade,Fahrenheit,Humidity
2024-04-24 14:09:27,10.8,51.4,67.7
2024-04-24 14:24:31,10.9,51.6,67.5
2024-04-24 14:40:01,10.8,51.4,66.8
2024-04-24 15:10:31,10.7,51.3,68.0
2024-04-24 15:26:31,10.7,51.3,66.5
2024-04-24 15:41:42,10.7,51.3,66.7
2024-04-24 15:57:31,10.7,51.3,66.4
2024-04-24 16:13:31,10.7,51.3,66.2
2024-04-24 16:29:31,10.6,51.1,65.7
2024-04-24 16:45:31,10.6,51.1,64.9
2024-04-24 17:01:31,10.4,50.7,66.4
2024-04-24 17:17:31,10.4,50.7,67.9
2024-04-24 17:33:17,10.4,50.7,66.0
2024-04-24 17:48:31,10.3,50.5,66.2
2024-04-24 18:04:31,10.3,50.5,66.2
2024-04-24 18:20:31,10.3,50.5,65.9
2024-04-24 18:36:31,10.2,50.4,67.2
2024-04-24 18:52:31,10.0,50.0,64.7
2024-04-24 19:08:31,9.9,49.8,66.0
2024-04-24 19:23:31,9.8,49.6,67.3
2024-04-24 19:39:31,9.7,49.5,69.6
2024-04-24 20:10:31,9.3,48.7,72.2
2024-04-24 20:26:31,8.8,47.8,79.9
2024-04-24 20:42:31,8.5,47.3,81.5
2024-04-24 20:58:21,8.2,46.8,81.3
2024-04-24 21:13:31,8.4,47.1,81.5
2024-04-24 21:28:44,8.4,47.1,82.7
2024-04-24 21:44:16,8.4,47.1,82.3
2024-04-24 21:59:21,7.7,45.9,82.1
2024-04-24 22:30:31,7.0,44.6,82.3
2024-04-24 22:46:31,6.6,43.9,82.5
2024-04-24 23:02:21,6.3,43.3,83.2
2024-04-24 23:33:31,5.9,42.6,84.1
2024-04-24 23:49:31,5.7,42.3,84.5
2024-04-25 00:05:31,5.4,41.7,84.3
2024-04-25 00:20:54,5.2,41.4,84.6
2024-04-25 00:36:31,5.0,41.0,84.7
2024-04-25 00:52:31,4.7,40.5,85.2
2024-04-25 01:23:31,4.3,39.7,85.7
2024-04-25 01:39:31,4.1,39.4,86.1
2024-04-25 01:55:02,4.9,40.8,89.8
2024-04-25 02:10:11,5.6,42.1,90.4
2024-04-25 02:57:31,5.0,41.0,87.0
2024-04-25 03:13:21,4.9,40.8,86.7
2024-04-25 04:00:13,4.8,40.6,86.3
2024-04-25 04:15:31,4.7,40.5,86.1
2024-04-25 04:31:31,4.6,40.3,86.6
2024-04-25 04:47:31,4.6,40.3,86.3
2024-04-25 05:19:11,4.4,39.9,86.5
2024-04-25 05:34:17,4.4,39.9,86.3
2024-04-25 05:49:26,4.4,39.9,86.4
2024-04-25 06:34:39,4.4,39.9,86.2
2024-04-25 06:49:48,4.5,40.1,85.4
2024-04-25 07:04:50,4.7,40.5,85.3
2024-04-25 07:19:57,4.8,40.6,84.5
2024-04-25 07:34:58,4.9,40.8,84.1
2024-04-25 07:50:05,5.3,41.5,83.1
2024-04-25 08:05:08,5.6,42.1,82.5
2024-04-25 08:20:12,5.9,42.6,82.6
2024-04-25 08:35:14,6.2,43.2,83.6
2024-04-25 08:51:54,6.4,43.5,84.6
2024-04-25 09:06:59,7.1,44.8,84.8
2024-04-25 09:37:10,8.3,46.9,85.3
